MastC,Kclass,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
mast,0,0,0,0,0,0,0,0,0,0,0,0,0
mast,1,0,0,0,0,0,0,0,0,0,0,0,0
mast,2,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
mast,3,179.7511083,198.9436789,215.4247129,228.071055,236.020878,238.7324146,236.020878,228.071055,215.4247129,198.9436789,179.7511083,159.1549431
mast,4,1401.665213,1909.859317,2389.038366,2802.540495,3118.365253,3312.490245,3371.341047,3293.12951,3087.908082,2776.338535,2387.324146,1954.787177
mast,5,190.9859317,252.4021576,318.3098862,384.2176148,445.6338407,498.3731494,538.8414444,564.280878,572.9577951,564.280878,538.8414444,498.3731494
mast,6,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
nonmast,0,0,0,0,0,0,0,0,0,0,0,0,0
nonmast,1,0,0,0,0,0,0,0,0,0,0,0,0
nonmast,2,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
nonmast,3,59.55762857,84.02462454,114.591559,140.0410409,150.5268963,143.2394488,123.1583697,98.69137374,76.39437268,59.21482424,48.72896883,47.74648293
nonmast,4,10.75561608,22.40656654,38.19718634,52.2819886,59.27255888,57.29577951,48.49572999,36.84477953,25.46479089,15.7906198,8.800049521,6.366197724
nonmast,5,26.8890402,56.01641636,95.49296586,130.7049715,148.1813972,143.2394488,121.239325,92.11194882,63.66197724,39.4765495,22.0001238,15.91549431
nonmast,6,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
postmast,0,0,0,0,0,0,0,0,0,0,0,0,0
postmast,1,0,0,0,0,0,0,0,0,0,0,0,0
postmast,2,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
postmast,3,138.5587779,119.3662073,102.8851733,90.23883116,82.28900813,79.57747155,82.28900813,90.23883116,102.8851733,119.3662073,138.5587779,159.1549431
postmast,4,1513.972296,1097.709837,733.0739452,438.8199305,223.888552,87.13435859,18.28633573,3.16227766,10.72871873,28.04425149,31.98407885,8.002269582
postmast,5,445.6338407,384.2176148,318.3098862,252.4021576,190.9859317,138.246623,97.77832802,72.33889432,63.66197724,39.4765495,22.0001238,15.91549431
postmast,6,29.77881428,42.01231227,57.29577951,70.02052045,75.26344816,71.61972439,61.57918486,49.34568687,38.19718634,29.60741212,24.36448441,23.87324146
