mast,crash,non.mast
0.0157,1,0.1266
0.0245,0.9333,0.2405
0.0309,0.813,0.3038
0.0617,0.5754,0.3165
0.1229,0.229,0.5
0.2453,0.0725,0.8734
0.4363,0.023,1
0.7762,0.0092,0.8924
0.9549,0.0058,0.6329
1,0.0046,0.3987
0.977,0.0035,0.2532
0.9119,0.0046,0.1582
